SKU,Previous Month Ultimo,Current Month Primo,Goods In,Moved to Production,Inbound from Production,Shipments Out,Variants,Inventory ULTIMO
39473090-KP-DK,528.0,528.0,0.0,0.0,0.0,0.0,-448.0,80.0
5430-99-4-S-B,29.0,29.0,0.0,0.0,0.0,-10.0,14.0,33.0
5430-99-5-M-B,49.0,49.0,0.0,0.0,0.0,-9.0,11.0,51.0
5430-99-6-L-B,59.0,59.0,0.0,0.0,0.0,-17.0,2.0,44.0
5430-99-7-XL-B,63.0,63.0,0.0,0.0,0.0,-1.0,3.0,65.0
5430-99-8-2XL-B,59.0,59.0,0.0,0.0,0.0,-4.0,0.0,55.0
5430X-99-9-3XL-B,20.0,20.0,0.0,0.0,0.0,0.0,10.0,30.0
6429,17519.0,17519.0,0.0,0.0,0.0,-57.0,20.0,17482.0
6430,17931.0,17931.0,0.0,0.0,0.0,-63.0,20.0,17888.0
6431,17843.0,17843.0,0.0,0.0,0.0,-53.0,20.0,17810.0
6432,15024.0,15024.0,0.0,0.0,0.0,-63.0,20.0,14981.0
6436,15033.0,15033.0,0.0,0.0,0.0,-51.0,1.0,14983.0
9630-99-3-XS-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9630-99-4-S-B,19.0,19.0,0.0,0.0,0.0,-4.0,-1.0,14.0
9630-99-5-M-B,55.0,55.0,0.0,0.0,0.0,-4.0,4.0,55.0
9630-99-6-L-B,65.0,65.0,0.0,0.0,0.0,-5.0,2.0,62.0
9630-99-7-XL-B,77.0,77.0,0.0,0.0,0.0,0.0,8.0,85.0
9630-99-8-2XL-B,29.0,29.0,0.0,0.0,0.0,0.0,10.0,39.0
9630-99-9-3XL-B,39.0,39.0,0.0,0.0,0.0,0.0,-29.0,10.0
9630X-99-10-4XL-B,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
9630X-99-11-5XL-B,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
9631-99-3-XS-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9631-99-4-S-B,9.0,9.0,0.0,0.0,0.0,-2.0,2.0,9.0
9631-99-5-M-B,16.0,16.0,0.0,0.0,0.0,0.0,-2.0,14.0
9631-99-6-L-B,19.0,19.0,0.0,0.0,0.0,-2.0,-2.0,15.0
9631-99-7-XL-B,9.0,9.0,0.0,0.0,0.0,-1.0,11.0,19.0
9631-99-8-2XL-B,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
A920Pro-2AW-RE6-20EU,0.0,0.0,10200.0,-1800.0,0.0,-1800.0,1400.0,8000.0
A920Pro-2AW-RE6-20EU-C-DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A920Pro-2AW-RE6-20EU-C-DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A920Pro-2AW-RE6-20EU-C-FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A920Pro-2AW-RE6-20EU-C-FR,0.0,0.0,1840.0,0.0,1840.0,-674.0,-1840.0,1166.0
A920Pro-2AW-RE6-20EU-C-IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A920Pro-2AW-RE6-20EU-C-UK,0.0,0.0,200.0,0.0,200.0,-200.0,-200.0,0.0
A920Pro-2AW-RE6-20EU-FR,2040.0,2040.0,0.0,-2040.0,0.0,-2040.0,2040.0,0.0
Basic-Langærmet-Unisex-L-B,38.0,38.0,0.0,0.0,0.0,-7.0,3.0,34.0
Basic-Langærmet-Unisex-L-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basic-Langærmet-Unisex-M-B,39.0,39.0,0.0,0.0,0.0,-11.0,0.0,28.0
Basic-Langærmet-Unisex-M-W,14.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0
Basic-Langærmet-Unisex-S-B,19.0,19.0,0.0,0.0,0.0,-7.0,0.0,12.0
Basic-Langærmet-Unisex-S-W,5.0,5.0,0.0,0.0,0.0,-5.0,0.0,0.0
Basic-Langærmet-Unisex-XS-B,9.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0
Basic-Langærmet-Unisex-XS-W,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Basic-Tshirt-Krave-2XL-B,24.0,24.0,0.0,0.0,0.0,-2.0,-7.0,15.0
Basic-Tshirt-Krave-3XL-B,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0
Basic-Tshirt-Krave-L-B,7.0,7.0,0.0,0.0,0.0,-7.0,18.0,18.0
Basic-Tshirt-Krave-M-B,24.0,24.0,0.0,0.0,0.0,-18.0,3.0,9.0
Basic-Tshirt-Krave-S-B,14.0,14.0,0.0,0.0,0.0,-10.0,9.0,13.0
Basic-Tshirt-Krave-XL-B,22.0,22.0,0.0,0.0,0.0,0.0,6.0,28.0
Basic-Tshirt-Krave-XS-B,13.0,13.0,0.0,0.0,0.0,0.0,-5.0,8.0
CA-CD330-48B,665.0,665.0,3100.0,0.0,0.0,-1020.0,56.0,2801.0
Cposx5-C-DE,0.0,0.0,954.0,0.0,954.0,-903.0,-827.0,178.0
Cposx5-C-DK,0.0,0.0,358.0,0.0,358.0,-71.0,-28.0,617.0
Cposx5-C-FI,0.0,0.0,0.0,0.0,296.0,0.0,-152.0,144.0
Cposx5-C-FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cposx5-C-IT,0.0,0.0,290.0,0.0,290.0,-290.0,-290.0,0.0
Cposx5-DE,1240.0,1240.0,300.0,-1138.0,0.0,-1138.0,1340.0,604.0
Cposx5-DK,310.0,310.0,0.0,-370.0,0.0,-370.0,470.0,40.0
Cposx5-FI,200.0,200.0,168.0,-296.0,0.0,-320.0,352.0,104.0
Cposx5-R-DE,55.0,55.0,0.0,0.0,0.0,0.0,-41.0,14.0
Cposx5-R-DK,327.0,327.0,0.0,0.0,0.0,0.0,-327.0,0.0
Cposx5-R-FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ether10m,79.0,79.0,0.0,0.0,0.0,0.0,0.0,79.0
Ether20m,220.0,220.0,0.0,0.0,0.0,-127.0,28.0,121.0
Ether5m,0.0,0.0,0.0,0.0,0.0,-2.0,3.0,1.0
"Ether7,5m",8852.0,8852.0,0.0,0.0,0.0,-161.0,-499.0,8192.0
FP_SK_EVA_Black,116.0,116.0,11.0,0.0,0.0,-11.0,-116.0,0.0
K1480-B,5725.0,5725.0,0.0,0.0,0.0,-11.0,2.0,5716.0
K1480-W,40049.0,40049.0,0.0,0.0,0.0,-4599.0,19.0,35469.0
L920Pro-BC-1E0,33118.0,33118.0,0.0,0.0,0.0,-4796.0,52.0,28374.0
MT134-1,5121.0,5121.0,0.0,0.0,0.0,-663.0,84.0,4542.0
Silicone_cover_white,8993.0,8993.0,4800.0,0.0,0.0,-2243.0,395.0,11945.0
Sim-CPOS-2MM,4522.0,4522.0,200.0,-1892.0,0.0,-3092.0,1458.0,1196.0
"Sim-Terminal-1,5MM",35950.0,35950.0,50000.0,-3420.0,0.0,-9431.0,5021.0,78120.0
TB32BXU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TB32BXU-C-DE,919.0,919.0,0.0,0.0,0.0,-500.0,-79.0,340.0
TB32BXU-C-DK,0.0,0.0,280.0,0.0,280.0,-74.0,-280.0,206.0
TB32BXU-C-FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TB32BXU-C-FR,0.0,0.0,1000.0,0.0,1000.0,-1000.0,-1000.0,0.0
TB32BXU-C-IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TB32BXU-DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TB32BXU-DK,1023.0,1023.0,778.0,-560.0,0.0,-560.0,560.0,1241.0
TH13-B,3099.0,3099.0,300.0,0.0,0.0,-1178.0,4.0,2225.0
TP-Link WA850RE,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0
Terminal Stand Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terminal stand White,1892.0,1892.0,550.0,0.0,0.0,-2323.0,199.0,318.0
UN3480_FP_TERMINAL_BAT,1374.0,1374.0,0.0,0.0,0.0,-5.0,0.0,1369.0
VEJLEDNING-POS,5879.0,5879.0,0.0,0.0,0.0,-70.0,0.0,5809.0
VL305.741,757.0,757.0,3210.0,0.0,0.0,-1607.0,-505.0,1855.0
VL308.096,616.0,616.0,882.0,0.0,0.0,-943.0,-155.0,400.0
silicone_cover_black,9935.0,9935.0,2800.0,0.0,0.0,-2381.0,520.0,10874.0
