Item Number,Warehouse Location,Quantity
39473090-C-DK,DE,0
39473090-C-DK#FP,DK,501
39473090-C-FI,DE,0
39473090-DE,DE,0
39473090-DE#FP,DE,5
39473090-DE#FP,DK,15
39473090-DK,DE,0
39473090-DK#FP,DK,1443
39473090-FI,DE,0
39473090-FI#FP,DK,2
39473090-KP-DE,DE,0
39473090-KP-DE#FP,DK,196
39473090-KP-DK,DE,0
39473090-KP-DK#FP,DK,80
5430-99-4-S-B,DE,0
5430-99-4-S-B#FP,DK,33
5430-99-5-M-B,DE,0
5430-99-5-M-B#FP,DK,51
5430-99-6-L-B,DE,0
5430-99-6-L-B#FP,DK,44
5430-99-7-XL-B,DE,0
5430-99-7-XL-B#FP,DK,65
5430-99-8-2XL-B,DE,0
5430-99-8-2XL-B#FP,DK,55
5430X-99-9-3XL-B,DE,0
5430X-99-9-3XL-B#FP,DK,30
6429#FP,DK,17482
6430#FP,DK,17888
6431#FP,DK,17810
6432#FP,DK,14981
6436#FP,DK,14983
9630-99-3-XS-B,DE,0
9630-99-4-S-B,DE,0
9630-99-4-S-B#FP,DK,14
9630-99-5-M-B,DE,0
9630-99-5-M-B#FP,DK,55
9630-99-6-L-B,DE,0
9630-99-6-L-B#FP,DK,62
9630-99-7-XL-B,DE,0
9630-99-7-XL-B#FP,DK,85
9630-99-8-2XL-B,DE,0
9630-99-8-2XL-B#FP,DK,39
9630-99-9-3XL-B,DE,0
9630-99-9-3XL-B#FP,DK,10
9630X-99-10-4XL-B,DE,0
9630X-99-10-4XL-B#FP,DK,10
9630X-99-11-5XL-B,DE,0
9630X-99-11-5XL-B#FP,DK,10
9631-99-3-XS-B,DE,0
9631-99-4-S-B,DE,0
9631-99-4-S-B#FP,DK,9
9631-99-5-M-B,DE,0
9631-99-5-M-B#FP,DK,14
9631-99-6-L-B,DE,0
9631-99-6-L-B#FP,DK,15
9631-99-7-XL-B,DE,0
9631-99-7-XL-B#FP,DK,19
9631-99-8-2XL-B,DE,0
9631-99-8-2XL-B#FP,DK,10
A920Pro-2AW-RE6-20EU,DE,0
A920Pro-2AW-RE6-20EU#FP,DK,8000
A920Pro-2AW-RE6-20EU-C-DE,DE,0
A920Pro-2AW-RE6-20EU-C-DK,DE,0
A920Pro-2AW-RE6-20EU-C-FI,DE,0
A920Pro-2AW-RE6-20EU-C-FR,DE,0
